,Var1,Var2,target
0,51.0,18.0,false
1,142.0,215.0,false
2,34.0,-9.0,true
3,32.0,20.0,false
4,25.0,8.0,false
5,131.0,129.0,true
6,37.0,13.0,false
7,7.0,-1.0,false
8,96.0,-67.0,true
9,113.0,-72.0,true
10,76.0,17.0,false
11,42.0,-2.0,true
12,48.0,-20.0,true
13,27.0,7.0,false
14,5.0,0.0,false
15,18.0,1.0,true
16,40.0,23.0,false
17,21.0,4.0,false
18,33.0,14.0,false
19,27.0,6.0,true
20,5.0,1.0,false
21,30.0,7.0,false
22,54.0,18.0,false
23,99.0,86.0,false
24,24.0,7.0,false
25,18.0,6.0,false
26,14.0,5.0,false
27,33.0,11.0,false
28,55.0,10.0,false
29,41.0,13.0,false
30,54.0,12.0,false
31,51.0,18.0,false
32,56.0,23.0,false
33,1.0,0.0,false
34,47.0,-14.0,true
35,157.0,162.0,false
36,43.0,7.0,false
37,25.0,4.0,false
38,67.0,74.0,false
39,48.0,20.0,false
40,49.0,11.0,false
41,42.0,12.0,false
42,203.0,-123.0,true
43,4.0,-1.0,false
44,110.0,24.0,false
45,15.0,-7.0,false
46,27.0,5.0,false
47,39.0,17.0,false
48,41.0,14.0,false
49,34.0,9.0,false
50,42.0,10.0,false
51,89.0,17.0,false
52,42.0,5.0,false
53,168.0,-134.0,false
54,18.0,-2.0,true
55,85.0,12.0,false
56,87.0,-48.0,true
57,576.0,-509.0,false
58,32.0,7.0,false
59,7.0,0.0,false
60,54.0,15.0,false
61,13.0,4.0,false
62,25.0,13.0,false
63,269.0,114.0,false
64,111.0,124.0,false
65,79.0,-62.0,true
66,45.0,17.0,false
67,37.0,-6.0,true
68,17.0,0.0,true
69,20.0,3.0,false
70,15.0,4.0,false
71,17.0,1.0,false
72,72.0,16.0,false
73,0.0,-0.0,false
74,461.0,-375.0,false
75,173.0,-125.0,false
76,15.0,8.0,false
77,34.0,11.0,false
78,95.0,15.0,false
79,44.0,12.0,false
80,660.0,-591.0,false
81,234.0,-181.0,false
82,230.0,261.0,false
83,23.0,-4.0,false
84,39.0,22.0,false
85,274.0,-231.0,false
86,48.0,15.0,false
87,48.0,2.0,false
88,57.0,10.0,false
89,69.0,14.0,false
90,20.0,2.0,false
91,230.0,6.0,false
92,28.0,7.0,false
93,109.0,-82.0,true
94,134.0,-46.0,false
95,46.0,-8.0,true
96,28.0,20.0,false
97,30.0,10.0,false
98,126.0,125.0,false
99,57.0,-3.0,false
100,51.0,15.0,false
101,35.0,9.0,false
102,7.0,-1.0,false
103,27.0,5.0,false
104,31.0,9.0,false
105,18.0,4.0,false
106,56.0,1.0,false
107,10.0,2.0,false
108,44.0,13.0,false
109,32.0,12.0,false
110,0.0,0.0,false
111,59.0,29.0,false
112,138.0,151.0,false
113,111.0,-74.0,true
114,32.0,14.0,false
115,40.0,14.0,false
116,36.0,-15.0,true
117,11.0,1.0,false
118,28.0,5.0,false
119,75.0,-58.0,true
120,104.0,-76.0,true
121,11.0,-2.0,false
122,82.0,-55.0,true
123,51.0,9.0,false
124,72.0,40.0,false
125,48.0,14.0,false
126,67.0,21.0,false
127,10.0,3.0,false
128,133.0,-41.0,false
129,20.0,2.0,false
130,92.0,34.0,false
131,134.0,-86.0,false
132,14.0,4.0,false
133,22.0,0.0,true
134,60.0,8.0,true
135,20.0,1.0,false
136,269.0,-197.0,false
137,6.0,0.0,false
138,68.0,4.0,true
139,56.0,24.0,false
140,55.0,10.0,false
141,41.0,-27.0,false
142,32.0,8.0,false
143,70.0,2.0,false
144,36.0,13.0,false
145,25.0,8.0,false
146,43.0,0.0,true
147,100.0,-62.0,false
148,23.0,-3.0,false
149,22.0,5.0,false
150,1.0,0.0,false
151,52.0,37.0,false
152,208.0,276.0,false
153,7.0,-1.0,false
154,58.0,17.0,false
155,20.0,-1.0,false
156,15.0,12.0,false
157,84.0,21.0,false
158,109.0,-76.0,true
159,30.0,-15.0,true
160,45.0,14.0,false
161,48.0,3.0,false
162,42.0,10.0,false
163,46.0,-3.0,true
164,65.0,15.0,true
165,37.0,13.0,false
166,114.0,-76.0,true
167,32.0,9.0,false
168,20.0,3.0,false
169,13.0,2.0,false
170,28.0,-3.0,false
171,149.0,-30.0,false
172,265.0,-163.0,false
173,33.0,9.0,false
174,65.0,21.0,false
175,191.0,-78.0,false
176,45.0,14.0,false
177,138.0,19.0,false
178,63.0,7.0,false
179,69.0,-0.0,false
180,24.0,6.0,false
181,13.0,6.0,false
182,121.0,192.0,false
183,11.0,-4.0,false
184,46.0,14.0,false
185,30.0,6.0,false
186,15.0,2.0,false
187,105.0,-79.0,true
188,59.0,8.0,false
189,60.0,22.0,false
190,18.0,-2.0,true
191,101.0,-49.0,false
192,19.0,3.0,false
193,24.0,1.0,false
194,45.0,10.0,false
195,41.0,12.0,false
196,28.0,6.0,false
197,22.0,4.0,false
198,76.0,15.0,false
199,92.0,15.0,false
200,116.0,18.0,false
201,36.0,8.0,false
202,109.0,17.0,false
203,6.0,1.0,false
204,282.0,143.0,false
205,47.0,27.0,false
206,40.0,14.0,false
207,10.0,-1.0,false
208,109.0,7.0,false
209,41.0,8.0,false
210,21.0,6.0,false
211,61.0,18.0,false
212,44.0,11.0,false
213,51.0,39.0,false
214,62.0,20.0,false
215,6.0,-2.0,false
216,13.0,3.0,false
217,63.0,14.0,false
218,24.0,12.0,false
219,85.0,17.0,false
220,266.0,333.0,false
221,15.0,2.0,false
222,660.0,-591.0,false
223,62.0,42.0,false
224,49.0,2.0,true
225,152.0,-77.0,false
226,58.0,13.0,true
227,14.0,1.0,false
228,21.0,3.0,false
229,92.0,18.0,false
230,74.0,13.0,false
231,47.0,9.0,false
232,140.0,-120.0,false
233,44.0,1.0,false
234,57.0,5.0,true
235,123.0,35.0,false
236,42.0,13.0,false
237,18.0,3.0,false
238,44.0,12.0,false
239,113.0,-55.0,true
240,13.0,2.0,false
241,9.0,1.0,false
242,12.0,2.0,false
243,46.0,23.0,false
244,8.0,3.0,false
245,34.0,12.0,false
246,430.0,219.0,false
247,9.0,0.0,false
248,161.0,152.0,false
249,48.0,-8.0,true
250,2.0,-0.0,false
251,54.0,20.0,false
252,24.0,8.0,false
253,34.0,6.0,false
254,55.0,7.0,false
255,47.0,6.0,false
256,11.0,5.0,false
257,25.0,14.0,false
258,115.0,-68.0,true
259,37.0,13.0,false
260,26.0,32.0,false
261,47.0,22.0,false
262,32.0,14.0,false
263,53.0,1.0,true
264,59.0,23.0,false
265,10.0,7.0,false
266,65.0,14.0,false
267,54.0,1.0,true
268,2.0,-0.0,false
269,67.0,-9.0,true
270,30.0,14.0,false
271,64.0,21.0,false
272,24.0,-1.0,true
273,43.0,16.0,false
274,13.0,7.0,false
275,27.0,41.0,false
276,13.0,4.0,false
277,31.0,6.0,false
278,39.0,13.0,false
279,13.0,3.0,false
280,30.0,8.0,false
281,22.0,1.0,false
282,184.0,269.0,false
283,4.0,3.0,false
284,73.0,16.0,false
285,63.0,18.0,false
286,468.0,750.0,false
287,117.0,-35.0,false
288,87.0,-38.0,false
289,95.0,99.0,false
290,24.0,4.0,false
291,31.0,5.0,false
292,39.0,9.0,false
293,12.0,3.0,false
294,34.0,-12.0,false
295,112.0,-56.0,true
296,25.0,12.0,false
297,45.0,9.0,false
298,101.0,6.0,false
299,56.0,22.0,false
300,64.0,16.0,false
301,34.0,9.0,false
302,66.0,23.0,false
303,0.0,0.0,false
304,14.0,-0.0,true
305,27.0,18.0,false
306,26.0,11.0,false
307,27.0,9.0,false
308,22.0,-3.0,true
309,0.0,0.0,false
310,15.0,3.0,false
311,45.0,2.0,true
312,135.0,-57.0,false
313,66.0,21.0,false
314,48.0,14.0,false
315,10.0,2.0,false
316,36.0,16.0,false
317,18.0,1.0,false
318,119.0,-72.0,true
319,11.0,6.0,false
320,28.0,13.0,false
321,63.0,26.0,false
322,34.0,9.0,false
323,64.0,16.0,false
324,30.0,9.0,false
325,15.0,-7.0,false
326,63.0,4.0,false
327,42.0,12.0,false
328,27.0,4.0,false
329,37.0,10.0,false
330,29.0,9.0,false
331,44.0,7.0,false
332,111.0,-77.0,true
333,49.0,-7.0,false
334,56.0,16.0,true
335,52.0,18.0,false
336,42.0,17.0,false
337,4.0,2.0,false
338,660.0,-591.0,false
339,162.0,-102.0,false
340,210.0,310.0,false
341,48.0,19.0,false
342,0.0,0.0,false
343,32.0,13.0,false
344,7.0,0.0,false
345,21.0,7.0,false
346,29.0,10.0,false
347,23.0,8.0,false
348,21.0,-2.0,true
349,27.0,4.0,false
350,14.0,-2.0,false
351,36.0,15.0,false
352,110.0,-37.0,false
353,27.0,8.0,false
354,73.0,13.0,false
355,21.0,4.0,false
356,48.0,-8.0,true
357,61.0,10.0,true
358,43.0,8.0,false
359,55.0,19.0,false
360,11.0,6.0,false
361,241.0,358.0,false
362,17.0,2.0,false
363,64.0,-21.0,false
364,44.0,11.0,false
365,64.0,26.0,false
366,100.0,-66.0,true
367,35.0,-10.0,true
368,59.0,24.0,false
369,43.0,7.0,false
370,32.0,9.0,false
371,17.0,2.0,false
372,136.0,25.0,false
373,66.0,9.0,false
374,28.0,-9.0,true
375,22.0,10.0,false
376,11.0,2.0,false
377,35.0,6.0,false
378,6.0,0.0,false
379,60.0,5.0,false
380,48.0,20.0,false
381,31.0,6.0,false
382,50.0,26.0,false
383,34.0,4.0,false
384,94.0,-64.0,true
385,4.0,0.0,false
386,208.0,-160.0,false
387,74.0,26.0,false
388,113.0,-68.0,true
389,34.0,26.0,false
390,23.0,10.0,false
391,40.0,8.0,false
392,287.0,385.0,false
393,42.0,6.0,false
394,61.0,19.0,false
395,19.0,2.0,false
396,132.0,-48.0,false
397,42.0,10.0,false
398,42.0,4.0,false
399,42.0,3.0,false
400,66.0,-9.0,true
401,33.0,7.0,false
402,4.0,2.0,false
403,35.0,9.0,false
404,68.0,12.0,false
405,49.0,11.0,false
406,136.0,124.0,false
407,161.0,-100.0,false
408,1.0,0.0,false
409,29.0,3.0,false
410,43.0,20.0,false
411,47.0,9.0,false
412,35.0,21.0,false
413,39.0,14.0,false
414,12.0,-7.0,true
415,48.0,12.0,false
416,18.0,-2.0,false
417,43.0,-9.0,true
418,40.0,6.0,false
419,36.0,9.0,true
420,155.0,-98.0,false
421,96.0,-62.0,true
422,3.0,1.0,false
423,132.0,-88.0,true
424,100.0,21.0,false
425,385.0,605.0,false
426,24.0,5.0,false
427,34.0,2.0,false
428,58.0,25.0,false
429,92.0,21.0,false
430,99.0,83.0,false
431,28.0,10.0,false
432,121.0,-87.0,true
433,3.0,1.0,false
434,104.0,20.0,false
435,154.0,23.0,false
436,44.0,21.0,false
437,25.0,11.0,false
438,72.0,10.0,false
439,45.0,15.0,false
440,45.0,8.0,false
441,61.0,11.0,false
442,13.0,6.0,false
443,660.0,-591.0,false
444,18.0,4.0,false
445,143.0,-78.0,false
446,26.0,7.0,false
447,66.0,17.0,false
448,28.0,4.0,false
449,218.0,-177.0,false
450,0.0,0.0,false
451,87.0,25.0,false
452,18.0,1.0,false
453,135.0,164.0,false
454,109.0,-52.0,true
455,34.0,15.0,false
456,43.0,18.0,false
457,18.0,4.0,false
458,103.0,-18.0,false
459,33.0,10.0,false
460,53.0,17.0,false
461,34.0,7.0,false
462,92.0,-59.0,true
463,593.0,-121.0,false
464,197.0,297.0,false
465,76.0,15.0,false
466,17.0,4.0,false
467,21.0,8.0,false
468,49.0,28.0,false
469,27.0,10.0,false
470,78.0,-53.0,true
471,12.0,3.0,false
472,92.0,15.0,false
473,60.0,9.0,true
474,39.0,2.0,false
475,149.0,197.0,false
476,32.0,8.0,false
477,25.0,3.0,false
478,31.0,7.0,false
479,32.0,9.0,false
480,21.0,4.0,false
481,26.0,7.0,false
482,66.0,75.0,false
483,28.0,8.0,false
484,4.0,3.0,false
485,65.0,19.0,false
486,73.0,-18.0,true
487,24.0,8.0,false
488,29.0,3.0,false
489,50.0,8.0,false
490,116.0,-55.0,false
491,87.0,-48.0,true
492,576.0,-509.0,false
493,102.0,15.0,false
494,355.0,-264.0,false
495,36.0,8.0,false
496,143.0,-83.0,false
497,9.0,3.0,false
498,16.0,2.0,false
499,23.0,5.0,false
500,17.0,-0.0,false
501,112.0,61.0,false
502,6.0,0.0,false
503,6.0,2.0,false
504,100.0,-63.0,true
505,91.0,37.0,false
506,15.0,4.0,false
507,69.0,20.0,false
508,0.0,-0.0,false
509,19.0,-2.0,false
510,46.0,2.0,false
511,4.0,1.0,false
512,185.0,288.0,false
513,22.0,5.0,false
514,36.0,-11.0,true
515,1.0,-1.0,false
516,34.0,5.0,true
517,7.0,-1.0,true
518,69.0,14.0,false
519,80.0,-56.0,false
520,7.0,2.0,false
521,78.0,28.0,false
522,70.0,24.0,false
523,8.0,2.0,false
524,88.0,-66.0,true
525,25.0,11.0,false
526,60.0,-4.0,true
527,29.0,8.0,false
528,32.0,-7.0,true
529,10.0,1.0,false
530,72.0,-55.0,true
531,30.0,0.0,false
532,21.0,7.0,false
533,22.0,2.0,false
534,61.0,9.0,false
535,73.0,20.0,false
536,227.0,-116.0,false
537,20.0,5.0,false
538,47.0,13.0,false
539,140.0,-92.0,false
540,22.0,1.0,true
541,10.0,4.0,false
542,58.0,21.0,false
543,9.0,5.0,false
544,38.0,12.0,false
545,37.0,-1.0,false
546,67.0,22.0,false
547,140.0,-120.0,false
548,151.0,21.0,false
549,139.0,156.0,false
550,34.0,11.0,false
551,19.0,8.0,false
552,20.0,5.0,false
553,136.0,134.0,false
554,8.0,4.0,false
555,18.0,6.0,false
